Source,Target,Type,Id,Label,timeset,Weight
614,PROVIDENCIA,Directed,1326,,,1
615,LO BARNECHEA,Directed,1327,,,1
616,NUNOA,Directed,1328,,,1
617,NUNOA,Directed,1329,,,1
618,LA REINA,Directed,1330,,,1
619,LO BARNECHEA,Directed,1331,,,1
620,NUNOA,Directed,1332,,,1
621,COLINA,Directed,1333,,,1
622,CERRILLOS,Directed,1334,,,1
623,COLINA,Directed,1335,,,1
624,MAIPU,Directed,1336,,,1
625,NUNOA,Directed,1337,,,1
626,HUECHURABA,Directed,1338,,,1
627,ESTACION CENTRAL,Directed,1339,,,1
628,NUNOA,Directed,1340,,,1
629,NUNOA,Directed,1341,,,1
630,CALERA DE TANGO,Directed,1342,,,1
631,LAS CONDES,Directed,1343,,,1
632,SAN BERNARDO,Directed,1344,,,1
633,SAN BERNARDO,Directed,1345,,,1
634,COLINA,Directed,1346,,,1
635,PADRE HURTADO,Directed,1347,,,1
636,SAN RAMON,Directed,1348,,,1
637,SANTIAGO,Directed,1349,,,1
638,NUNOA,Directed,1350,,,1
639,SANTIAGO,Directed,1351,,,1
640,NUNOA,Directed,1352,,,1
641,HUECHURABA,Directed,1353,,,1
642,LA FLORIDA,Directed,1354,,,1
643,NUNOA,Directed,1355,,,1
644,PUENTE ALTO,Directed,1356,,,1
645,SANTIAGO,Directed,1357,,,1
646,QUILICURA,Directed,1358,,,1
647,COLINA,Directed,1359,,,1
648,LO PRADO,Directed,1360,,,1
649,MAIPU,Directed,1361,,,1
650,PROVIDENCIA,Directed,1362,,,1
651,PROVIDENCIA,Directed,1363,,,1
652,SANTIAGO,Directed,1364,,,1
653,SANTIAGO,Directed,1365,,,1
654,PADRE HURTADO,Directed,1366,,,1
655,EL BOSQUE,Directed,1367,,,1
656,LAMPA,Directed,1368,,,1
657,INDEPENDENCIA,Directed,1369,,,1
658,LA GRANJA,Directed,1370,,,1
659,MAIPU,Directed,1371,,,1
660,SAN MIGUEL,Directed,1372,,,1
661,PROVIDENCIA,Directed,1373,,,1
662,PENALOLEN,Directed,1374,,,1
663,LA FLORIDA,Directed,1375,,,1
664,LAS CONDES,Directed,1376,,,1
665,HUECHURABA,Directed,1377,,,1
666,SAN MIGUEL,Directed,1378,,,1
667,LA FLORIDA,Directed,1379,,,1
