,Source,Target,distancias,longitudclase,pesos
350743,492,660,831.51203776472,B,0.916993500152711
351285,493,489,647.390850505244,B,0.934163497185836
351286,493,490,810.62883177761,B,0.918909137532368
351998,494,489,935.0408335205,B,0.907613439623502
351999,494,490,522.864349971523,B,0.946145234279562
352000,494,491,974.545182970074,B,0.904084597686023
352079,494,570,570.932183138247,B,0.941483982201012
352718,495,496,617.633300016177,B,0.936999042043721
352882,495,660,633.375636908978,B,0.935496841282721
352888,495,666,929.54972355565,B,0.908106131010254
353422,496,487,599.474249308084,B,0.938737859232277
353425,496,490,980.247570688793,B,0.903577480282906
353426,496,491,658.446079365202,B,0.933114431118417
353427,496,492,827.909465280288,B,0.917323397451024
353430,496,495,617.633300016177,B,0.936999042043721
353601,496,666,758.680395149425,B,0.92370931927275
354137,497,489,738.406148447419,B,0.925596350071614
354138,497,490,719.50726095761,B,0.927362325369585
354501,498,140,954.583544462383,B,0.905864293182102
354860,498,499,800.595539517564,B,0.919832350754964
354997,498,636,661.045617581099,B,0.932868094681457
355572,499,498,800.595539517564,B,0.919832350754964
355929,500,142,838.65972215233,B,0.916339669291003
356957,501,457,941.884424216335,B,0.907000144368508
356958,501,458,671.831454357754,B,0.931847399218813
357005,501,505,727.216629284528,B,0.926641123047323
357006,501,506,518.864983414415,B,0.946535143102951
357025,501,525,668.598576427919,B,0.932153101483346
357039,501,539,514.565604637934,B,0.9469546594997
357096,501,596,717.442200225781,B,0.927555700036475
357107,501,607,713.817978427661,B,0.927895271378756
357152,501,652,938.901520534196,B,0.907267358348492
357184,501,684,685.752140535203,B,0.930533340772907
357671,502,458,880.385263105515,B,0.912541377431218
357718,502,505,782.703472074694,B,0.921483300976156
357724,502,511,721.310103068224,B,0.927193571066044
357751,502,538,746.954139709025,B,0.924799804302547
357752,502,539,814.168521147635,B,0.918583875147209
357809,502,596,767.140077409475,B,0.92292420528282
357820,502,607,737.40931904988,B,0.925689329105914
357858,502,645,807.199476344178,B,0.91922448108421
357865,502,652,646.175026088597,B,0.934279014651134
357897,502,684,681.263152023875,B,0.930956678727705
358384,503,458,934.104905951453,B,0.907697378188918
358434,503,508,516.773482583065,B,0.946739177052692
358435,503,509,511.75476181562,B,0.947229131530577
358437,503,511,927.432446238151,B,0.908296247232365
358445,503,519,891.159680646728,B,0.911565687911053
