Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
107,AHUMADA,,LA FLORIDA,33.543827,-70.58935,AHUMADA,,,,18,2.744815,16,0.124244,0.180982,124.89621,5,0.001452,1,0.562092,86,0.040868
108,AHUMADA,,LA FLORIDA,33.519608,-70.602804,AHUMADA,,,,26,7.029551,15,0.13541,0.195345,75.989107,5,0.001525,1,0.876923,285,0.116831
109,AHUMADA,,LA FLORIDA,33.522524,-70.579158,AHUMADA,,,,22,4.25596,16,0.132785,0.194286,3136.230868,5,0.00143,1,0.649351,150,0.085326
110,BELEN,,LA FLORIDA,33.522497,-70.574622,BELEN,,,,13,2.227814,16,0.132551,0.187648,2632.771545,5,0.001017,1,0.576923,45,0.039778
111,C.A.,,LA FLORIDA,33.539579,-70.603521,C.A.,,,,10,1.48653,16,0.123632,0.173523,367.5086,5,0.00089,1,0.711111,32,0.028018
112,CRUZ VERDE,,LA FLORIDA,33.522077,-70.597461,CRUZ VERDE,,,,29,6.329599,15,0.135492,0.197557,147.220489,5,0.00169,1,0.810345,329,0.127246
113,CRUZ VERDE,,LA FLORIDA,33.539606,-70.583173,CRUZ VERDE,,,,18,2.59449,16,0.127636,0.18428,616.780597,5,0.001367,1,0.588235,90,0.047525
114,CRUZ VERDE,,LA FLORIDA,33.539997,-70.571672,CRUZ VERDE,,,,13,2.354675,16,0.127252,0.17897,110.572762,5,0.001107,1,0.74359,58,0.02724
115,CRUZ VERDE,,LA FLORIDA,33.55396,-70.602718,CRUZ VERDE,,,,13,1.568171,16,0.125625,0.182471,3813.381509,6,0.001326,1,0.474359,37,0.022287
116,CRUZ VERDE,,LA FLORIDA,33.534741,-70.554336,CRUZ VERDE,,,,9,1.468087,16,0.127133,0.175774,43.69369,5,0.000854,1,0.833333,30,0.018578
117,CRUZ VERDE,,LA FLORIDA,33.526927,-70.596404,CRUZ VERDE,,,,27,4.278476,15,0.1356,0.196893,563.344181,5,0.00166,1,0.683761,240,0.111068
118,CRUZ VERDE,,LA FLORIDA,33.553512,-70.586767,CRUZ VERDE,,,,14,2.070054,16,0.124724,0.181474,1263.569788,5,0.00126,1,0.549451,50,0.026754
